,IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate,Type
0,0,342,2015,July,27,1,0,0,2,0.0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,3,No Deposit,       NULL,       NULL,0,Transient,0.0,0,0,Check-Out,2015-07-01,Resort
1,0,737,2015,July,27,1,0,0,2,0.0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,4,No Deposit,       NULL,       NULL,0,Transient,0.0,0,0,Check-Out,2015-07-01,Resort
2,0,7,2015,July,27,1,0,1,1,0.0,0,BB       ,GBR,Direct,Direct,0,0,0,A               ,C               ,0,No Deposit,       NULL,       NULL,0,Transient,75.0,0,0,Check-Out,2015-07-02,Resort
3,0,13,2015,July,27,1,0,1,1,0.0,0,BB       ,GBR,Corporate,Corporate,0,0,0,A               ,A               ,0,No Deposit,        304,       NULL,0,Transient,75.0,0,0,Check-Out,2015-07-02,Resort
4,0,14,2015,July,27,1,0,2,2,0.0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit,        240,       NULL,0,Transient,98.0,0,1,Check-Out,2015-07-03,Resort
5,0,14,2015,July,27,1,0,2,2,0.0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit,        240,       NULL,0,Transient,98.0,0,1,Check-Out,2015-07-03,Resort
6,0,0,2015,July,27,1,0,2,2,0.0,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit,       NULL,       NULL,0,Transient,107.0,0,0,Check-Out,2015-07-03,Resort
7,0,9,2015,July,27,1,0,2,2,0.0,0,FB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit,        303,       NULL,0,Transient,103.0,0,1,Check-Out,2015-07-03,Resort
8,1,85,2015,July,27,1,0,3,2,0.0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit,        240,       NULL,0,Transient,82.0,0,1,Canceled,2015-05-06,Resort
9,1,75,2015,July,27,1,0,3,2,0.0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit,         15,       NULL,0,Transient,105.5,0,0,Canceled,2015-04-22,Resort
